Album,Median,Mean
WPSIATWIN,175.0,194.62626262626262
Favourite WN,183.0,190.6629213483146
Humbug,220.0,235.40845070422534
Suck It and See,203.0,202.51764705882354
AM,206.0,210.6888888888889
TBH & Casino,208.0,224.2972972972973
The Car,237.0,228.15151515151516
